Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,StudyText.started,Studyslider.started,Studyslider.response,Studyslider.rt,TestText.started,textbox.started,submit_text.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,TestText.stopped,textbox.stopped,submit_text.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
mouse,,,,0,0,0,8,,,,,21.992593834000004,21.992593834000004,1.0,1.518560375000007,,,,,,,,,,,,,,,,,Pal,001,2023-10-04_13h06.43.138,Priming_Exp,2023.1.3,None,
Keys,,,,0,1,1,13,,,,,23.514272750000003,23.514272750000003,1.0,0.9721002500000111,,,,,,,,,,,,,,,,,Pal,001,2023-10-04_13h06.43.138,Priming_Exp,2023.1.3,None,
board,,,,0,2,2,4,,,,,24.502678208999995,24.502678208999995,1.0,0.9670059999999978,,,,,,,,,,,,,,,,,Pal,001,2023-10-04_13h06.43.138,Priming_Exp,2023.1.3,None,
book,,,,0,3,3,0,,,,,25.483307167000007,25.483307167000007,1.0,0.7190687079999947,,,,,,,,,,,,,,,,,Pal,001,2023-10-04_13h06.43.138,Priming_Exp,2023.1.3,None,
cushion,,,,0,4,4,1,,,,,26.218416667,26.218416667,1.0,0.9444816250000088,,,,,,,,,,,,,,,,,Pal,001,2023-10-04_13h06.43.138,Priming_Exp,2023.1.3,None,
Poster,,,,0,5,5,14,,,,,27.180791209000006,27.180791209000006,1.0,0.7724649580000005,,,,,,,,,,,,,,,,,Pal,001,2023-10-04_13h06.43.138,Priming_Exp,2023.1.3,None,
T-shirt,,,,0,6,6,7,,,,,27.969617334000006,27.969617334000006,1.0,0.8102999580000017,,,,,,,,,,,,,,,,,Pal,001,2023-10-04_13h06.43.138,Priming_Exp,2023.1.3,None,
phone,,,,0,7,7,2,,,,,28.797674291999996,28.797674291999996,1.0,0.8156377090000007,,,,,,,,,,,,,,,,,Pal,001,2023-10-04_13h06.43.138,Priming_Exp,2023.1.3,None,
Laptop,,,,0,8,8,5,,,,,29.631044916999997,29.631044916999997,1.0,0.8389157499999982,,,,,,,,,,,,,,,,,Pal,001,2023-10-04_13h06.43.138,Priming_Exp,2023.1.3,None,
Chart,,,,0,9,9,6,,,,,30.483928958999996,30.483928958999996,1.0,0.8191481669999945,,,,,,,,,,,,,,,,,Pal,001,2023-10-04_13h06.43.138,Priming_Exp,2023.1.3,None,
